Gene,ALL1,ALL2
S65583_rna1_at,659,905
S65738_at,288,2986
S66431_at,268,406
S66793_at,253,-29
S67070_at,521,759
S67156_at,16,59
S67325_at,206,445
S67798_at,54,89
S67970_at,46,-39
S68616_at,1351,454
S69115_at,887,627
S69189_at,138,87
S69232_at,17,33
S69790_at,82,-38
S69965_at,-202,-294
S70004_at,-45,-122
S70348_at,175,196
S70585_rna1_at,-125,-153
S70609_at,465,358
S71018_at,-121,-124
S71129_at,77,98
S71824_at,400,258
S72008_at,1569,2501
S72370_at,-51,-225
S72487_at,398,472
S72869_at,93,0
S72904_at,285,124
S73149_at,1237,1203
S73205_at,28,0
S73591_at,9564,2174
S73813_at,97,116
S74017_at,64,674
S74221_at,409,318
S74445_at,701,193
S74683_at,212,156
S74728_at,192,66
S75168_rna1_at,509,416
S75174_at,-545,-379
S75295_at,184,234
S75313_at,2,-7
S75463_at,1102,1722
S75989_at,290,72
S76067_at,115,-5
S76475_at,220,98
S76617_at,-219,-317
S76965_at,199,194
S76992_at,824,276
S77094_at,-527,-634
S77356_at,1376,1835
S77361_at,73,88
S77393_at,-91,-29
S77415_at,221,207
S77575_at,17,-90
S77576_at,337,203
S77583_at,96,80
S77763_at,127,334
S77812_at,489,301
S78085_at,804,-302
S78187_at,350,507
S78203_at,402,256
S78296_at,500,308
S78432_xpt1_at,-219,-84
S78569_at,17,32
S78653_at,152,123
S78723_rna2_at,-57,55
S79048_at,277,131
S79267_at,342,227
S79281_at,6,48
S79522_at,14205,15373
S79639_at,446,517
S79781_at,130,32
S79854_at,-299,-565
S80050_at,235,187
S80335_at,139,173
S80343_at,62,-131
S80562_at,10,-11
S81003_at,1020,1526
S81083_cds1_at,55,49
S81221_at,-463,-344
S81294_at,157,169
S81419_at,330,139
S81439_at,233,268
S81578_at,-60,-102
S81893_at,268,33
S81914_at,-111,219
S81916_at,13,95
S81944_at,-182,-103
S81957_at,62,-115
S82024_at,236,196
S82075_at,-315,-175
S82185_at,92,37
S82198_at,2029,1624
S82240_at,-89,-11
S82470_at,958,926
S82472_at,-65,-56
S82592_at,1,70
S83198_at,-892,-420
S83249_at,-87,-90
S83308_at,63,5
S83364_at,134,743
S83365_at,-755,-588
S83366_cds1_at,197,81
S83366_cds3_at,9,66
S83549_at,-393,-219
S85655_at,173,372
S85963_at,301,-210
S87759_at,357,813
S90469_at,652,512
S94421_at,-752,-798
S95936_at,-62,-79
U00115_at,37,438
U00238_rna1_at,51,137
U00672_at,-20,292
U00921_at,1656,2629
U00930_at,371,389
U00943_at,482,438
U00944_at,73,109
U00946_at,-194,-194
U00951_at,-208,-335
U00952_at,1319,1172
U00954_at,-375,-319
U00957_at,-81,-28
U00968_at,702,1621
U01038_at,1265,716
U01062_at,17,56
U01102_at,-201,-130
U01120_at,155,191
U01147_at,363,383
U01157_at,180,38
U01160_at,276,116
U01212_at,822,1528
U01317_cds1_at,-444,-236
U01317_cds6_at,78,80
U01824_at,649,198
U01833_at,102,-85
U01877_at,236,357
U01922_at,-229,-203
U01923_at,810,519
U02019_at,73,-49
U02020_at,176,1140
U02031_at,-118,225
U02081_at,23,638
U02082_at,81,62
U02310_at,500,180
U02493_at,6944,5941
U02556_at,805,678
U02570_at,2027,1753
U02609_at,-514,-443
U02619_at,383,715
U02632_at,281,219
U02680_at,101,188
U02687_at,-91,-128
U03056_at,-123,-15
U03057_at,1018,1667
U03090_at,-179,33
U03100_at,356,131
U03105_at,546,1138
U03187_at,-262,-668
U03270_at,357,252
U03272_at,906,125
U03274_at,-1038,-884
U03398_at,720,499
U03399_at,72,-283
U03486_at,355,267
U03634_at,316,270
U03642_at,1234,695
U03644_at,215,235
U03688_at,-38,9
U03851_at,345,345
U03877_at,-154,-31
U03886_at,119,66
U03891_at,416,21
U03905_at,-521,-391
U03911_at,-22,-12
U04209_at,226,122
U04270_at,84,-66
U04313_at,-126,-113
U04325_cds3_at,181,42
U04343_at,103,133
U04520_at,167,29
U04735_at,4,151
U04810_at,-207,-289
U04811_at,355,395
U04840_at,193,153
U04847_at,-30,82
U04898_at,9,491
U05040_at,833,658
U05227_at,-43,-31
U05237_at,940,977
U05259_rna1_at,9326,895
U05291_at,733,472
U05321_at,-154,-237
U05340_at,661,207
U05589_at,-172,-151
U05659_at,1273,796
U05875_at,323,1011
U06088_at,409,2
U06233_at,77,71
U06452_at,322,128
U06454_at,-3,-18
U06631_at,400,651
U06632_at,44,37
U06681_at,243,245
U06698_at,-19,-24
U06863_at,274,579
U07000_cds4_at,61,370
U07132_at,1158,1210
U07151_at,159,27
U07158_at,491,532
U07223_at,496,416
U07225_at,-170,-88
U07231_at,25,80
U07349_at,-359,-829
U07358_at,534,270
U07418_at,541,456
U07424_at,664,610
U07550_at,218,441
U07559_at,258,84
U07563_cds1_at,-276,46
U07620_at,255,-31
U07664_at,582,130
U07681_at,366,464
U07695_at,1360,1011
U07794_cds2_at,-81,-9
U07802_at,2557,2364
U07807_at,269,-6
U07856_at,-18,-37
U07857_at,3237,6639
U07882_at,-48,-180
U07919_at,535,381
U08015_at,28,159
U08023_at,-32,289
U08049_at,52,43
U08096_at,148,219
U08198_rna1_at,-503,-527
U08316_at,362,434
U08336_at,58,236
U08377_at,172,43
U08438_at,-1306,-1026
U08471_at,-182,-370
U08815_at,267,375
U08989_at,257,98
U08998_at,-40,244
U09002_at,186,104
U09117_at,1184,689
U09196_at,2022,515
U09210_at,-212,-37
U09278_at,-43,-67
U09284_at,77,121
U09303_at,694,337
U09366_at,161,104
U09367_at,3,321
U09368_at,24,47
U09410_at,641,810
U09411_at,414,216
U09412_at,364,502
U09413_at,-23,-33
U09414_at,343,328
U09477_at,457,300
U09550_at,-34,105
U09564_at,338,277
U09578_at,-320,1344
U09579_at,503,370
U09584_at,206,205
U09607_at,374,884
U09646_at,47,21
U09759_at,181,147
U09770_at,1235,917
U09813_at,1954,4090
U09825_at,1142,987
U09848_at,559,351
U09850_at,578,375
U09860_at,20,80
U09877_at,-355,-1030
U09953_at,14573,17462
U10117_at,449,734
U10323_at,3215,3784
U10324_at,-78,-1246
U10362_at,50,-254
U10439_at,1989,1415
U10485_at,333,212
U10492_at,482,131
U10550_at,144,62
U10685_at,162,25
U10686_at,833,725
U10693_at,-55,2
U10868_at,812,311
U10991_at,77,354
U11036_at,-174,-210
U11037_at,260,285
U11090_at,775,836
U11292_at,166,195
U11313_at,86,124
U11690_at,-21,75
U11701_at,38,-21
U11732_at,71,358
U11791_at,429,212
U11861_at,1587,1834
U11870_rna1_at,-79,14
U11872_at,444,527
U11877_at,38,12
U11878_at,42,114
U12139_at,499,-218
U12255_at,3830,1675
U12404_at,16874,18656
U12465_at,11717,13457
U12471_cds1_at,160,134
U12535_at,-100,32
U12595_at,-228,-146
U12622_at,179,186
U12775_at,-2,178
U12778_at,8,69
U12779_at,963,855
U12897_at,53,32
U12978_at,-125,-193
U13044_at,72,0
U13045_at,313,116
U13061_rna1_at,-8,70
U13219_at,203,77
U13220_at,215,252
U13369_at,-268,39
U13395_at,720,236
U13616_at,-37,-72
U13666_at,317,196
U13680_at,119,45
U13695_at,387,276
U13706_at,522,381
U13737_at,168,-24
U13896_at,8,23
U13948_at,90,68
U13991_at,640,1125
U14193_at,796,849
U14383_at,171,3
U14391_at,265,426
U14407_at,-12,-21
U14417_at,986,758
U14518_at,147,-12
U14528_at,43,53
U14550_at,114,-27
U14575_at,426,371
U14588_at,855,574
U14603_at,1890,10296
U14747_at,19,30
U14910_at,-90,-160
U14968_at,13353,16698
U14969_at,19130,20960
U14970_at,15119,20593
U14971_at,12143,14953
U14972_at,12720,15360
U14973_at,19398,18006
U15008_at,7093,10263
U15009_at,422,575
U15085_at,3277,1048
U15128_at,114,115
U15131_at,-399,-91
U15172_at,825,725
U15173_at,414,208
U15174_at,248,62
U15177_at,967,806
U15197_at,406,248
U15306_at,-3,236
U15422_cds2_at,-694,-506
U15460_at,-189,-232
U15552_at,574,907
U15555_at,-8,522
U15590_at,-153,-67
U15655_at,64,172
U15782_at,691,523
U15932_at,186,358
U16031_at,196,122
U16126_at,7,-144
U16127_at,558,535
U16129_at,24,39
U16258_at,137,48
U16261_at,0,5
U16282_at,699,360
U16296_at,222,149
U16306_at,71,335
U16660_at,919,794
U16861_at,256,-61
U16954_at,399,252
U16997_at,-214,-81
U17032_at,7,-42
U17033_at,6,-131
U17034_at,-44,-13
U17077_at,-253,-134
U17163_at,610,299
U17195_at,130,12
U17280_at,-237,-201
U17327_at,-6,-212
U17418_at,-109,-252
U17566_at,-1525,-761
U17579_rna1_at,507,267
U17714_at,279,250
U17760_rna1_at,-72,-97
U17886_at,240,136
U17894_at,1261,934
U17977_at,-252,-277
U17989_at,122,104
U18004_at,-84,-47
U18009_at,500,1554
U18018_at,503,453
U18062_at,952,388
U18235_at,-555,-603
U18237_at,206,0
U18242_at,516,540
U18244_at,-5,-369
U18271_cds1_at,-39,43
U18288_at,73,79
U18291_at,374,331
U18300_at,495,800
U18321_at,246,133
U18467_at,150,63
U18543_at,344,269
U18548_at,769,531
U18549_at,144,78
U18671_rna1_at,330,23
U18914_at,116,298
U18919_at,-104,52
U18932_at,-102,-49
U18937_at,367,129
U18985_at,-8,18
U18991_at,-58,-70
U19107_rna1_at,16,-10
U19142_at,48,141
U19180_at,-57,-54
U19261_at,939,427
U19345_at,244,143
U19487_at,72,198
U19517_at,-290,-274
U19523_at,-4,147
U19718_at,-487,-531
U19796_at,878,911
U19878_at,-28,16
U19906_at,105,72
U19948_at,379,348
U19977_at,620,369
U20158_at,394,923
U20230_at,-338,-831
U20240_at,85,576
U20285_at,1222,1624
U20325_at,541,306
U20350_at,585,135
U20362_at,-99,-60
U20391_rna6_at,-644,-1689
U20428_at,533,477
U20530_at,62,114
U20582_at,404,221
U20647_at,171,52
U20648_at,24,63
U20657_at,450,616
U20758_rna1_at,-54,34
U20860_at,-84,-21
U20908_at,638,1006
U20979_at,485,684
U20980_at,-435,-523
U20998_at,1753,1602
U21049_at,156,-166
U21051_rna1_at,-49,-66
U21090_at,240,178
U21128_at,-3,-43
U21551_at,140,111
U21858_at,425,400
U21931_at,717,747
U21936_at,135,7
U21943_at,21,98
U22055_at,1646,1849
U22233_at,87,48
U22377_at,209,406
U22398_at,157,163
U22526_at,235,374
U22662_at,-562,-125
U22897_at,1078,338
U22963_at,460,263
U23028_at,99,221
U23070_at,-38,-30
U23143_at,395,372
U23752_at,-80,-65
U23803_at,647,369
U23942_at,107,65
U23946_at,565,217
U24105_at,3163,3504
U24152_at,955,473
U24166_at,2320,1991
U24169_at,-113,-1027
U24186_at,167,17
U24266_at,119,119
U24576_at,91,-77
U24577_at,-11,-45
U24704_at,463,570
U25029_at,251,143
U25041_at,3,-186
U25128_at,90,65
U25138_at,358,-165
U25165_at,465,503
U25182_at,156,249
U25265_at,720,688
U25433_at,-101,36
U25435_at,509,624
U25750_at,688,555
U25789_at,6556,10632
U25801_at,-248,-148
U25826_at,-174,-224
U25849_at,347,1332
U25956_at,97,845
U25997_at,-79,-28
U26032_at,141,37
U26174_at,34,17
U26398_at,-111,288
U26403_at,68,94
U26591_at,-148,-444
U26648_at,768,189
U26710_at,399,357
U26712_at,-6,-61
U26726_at,-232,-293
U26727_at,294,246
U26914_at,291,164
U27109_at,95,30
U27185_at,-1,16
U27193_at,-110,1
U27330_at,304,301
U27459_at,64,22
U27655_at,65,13
U27699_at,-466,-426
U27768_at,-39,-24
U27831_at,798,317
U28042_at,123,-3
U28043_at,-11,-240
U28131_at,650,-60
U28150_at,-9,45
U28249_at,-105,-124
U28251_cds2_at,-128,-89
U28281_at,177,-42
U28368_at,-20,-73
U28369_at,32,100
U28386_at,619,922
U28413_at,19,-21
U28686_at,907,1789
U28687_at,424,322
U28727_at,-724,-615
U28811_at,1188,166
U28831_at,364,597
U28833_at,215,134
U28963_at,946,416
U29091_at,-327,-153
U29171_at,932,1277
U29195_at,-77,29
U29343_at,310,204
U29589_at,-143,-23
U29607_at,7072,6849
U29615_at,-179,43
U29656_at,345,548
U29680_at,126,712
U29700_at,949,503
U29725_at,-282,62
U29953_rna1_at,271,853
U30185_at,-360,-252
U30245_at,8,15
U30246_at,125,110
U30255_at,273,289
U30313_at,-241,59
U30521_at,2191,784
U30610_at,316,129
U30825_at,2970,2965
U30828_at,133,-47
U30872_at,376,129
U30888_at,605,717
U30894_at,-41,93
U30930_at,48,-45
U30998_at,131,69
U30999_at,-157,0
U31099_at,30,131
U31116_at,66,-34
U31120_rna1_at,333,203
U31176_at,611,456
U31201_cds1_at,-140,-137
U31248_at,259,155
U31342_at,518,607
U31382_at,185,221
U31383_at,395,223
U31384_at,1094,186
U31449_at,46,-4
U31501_at,478,237
U31628_at,-301,-204
U31799_at,-70,-95
U31814_at,790,420
U31875_at,675,501
U31930_at,2070,1732
U31986_at,263,235
U32114_at,74,48
U32315_at,-42,-56
U32324_at,-9,144
U32331_at,18,12
U32376_at,-92,-107
U32439_at,161,109
U32519_at,643,84
U32576_rna1_at,135,-132
U32581_at,304,198
U32645_at,147,-240
U32659_at,206,55
U32680_at,218,560
U32849_at,593,660
U32907_at,-67,-33
U32944_at,3349,1002
U32989_at,-100,-54
U33017_at,-953,-348
U33053_at,610,889
U33054_at,-333,-73
U33147_at,579,1361
U33267_at,41,59
U33286_at,280,190
U33317_rna1_at,95,112
U33429_at,-1128,-140
U33447_at,-644,-600
U33761_at,-8,35
U33818_at,573,552
U33821_at,1799,1453
U33822_at,-418,-14
U33837_at,-67,-87
U33839_at,423,442
U33849_at,-367,-279
U33920_at,229,-72
U33921_at,138,190
U34038_at,304,447
U34044_at,349,193
U34252_at,255,519
U34343_at,1389,1849
U34360_at,-330,-125
U34605_at,267,192
U34683_at,-66,104
U34844_at,140,64
U34877_at,271,-35
U34879_rna1_at,-102,-54
U34880_at,309,502
U34962_at,657,390
U34976_at,180,78
U35048_at,481,1445
U35100_at,-1807,-1572
U35113_at,-39,540
U35139_at,-249,-383
U35246_at,100,72
U35340_at,-161,-218
U35407_at,57,-15
U35451_at,408,633
U35459_at,155,141
U35735_at,-79,45
U36221_at,635,452
U36448_at,-81,-129
U36500_at,-48,45
U36501_at,212,58
U36601_at,110,-60
U36621_cds2_at,-399,-40
U36764_at,1024,1985
U36787_at,359,422
U36798_at,556,207
U36922_at,1036,8
U37012_at,1901,1018
U37022_rna1_at,541,378
U37122_at,3242,605
U37139_at,362,239
U37143_at,133,47
U37219_at,1293,1277
U37221_at,-54,-87
U37248_at,1,436
U37251_at,372,480
U37283_at,41,-59
U37352_at,311,121
U37359_at,28,-27
U37408_at,476,837
U37431_at,-71,-35
U37518_at,103,264
U37519_at,685,-6
U37529_at,5,2
U37547_at,228,143
U37673_at,-364,-8
U37689_at,888,737
U37690_at,1490,2250
U37707_at,612,510
U38175_at,85,351
U38268_at,389,169
U38372_at,-9,-28
U38480_at,69,0
U38545_at,145,75
U38810_at,-46,-41
U38846_at,2170,1407
U38847_at,220,328
U38864_at,-1568,-760
U38896_at,75,62
U38904_at,221,344
U38980_at,2063,1638
U39196_at,67,-65
U39226_at,159,65
U39231_at,-63,32
U39317_at,1253,632
U39318_at,1123,2099
U39400_at,899,408
U39412_at,393,726
U39447_at,-118,-162
U39487_at,-309,-68
U39573_at,147,534
U39576_at,-696,-619
U39657_at,-68,-81
U39817_at,-56,2
U39840_at,57,108
U39905_at,427,351
U40038_at,108,116
U40215_at,79,-19
U40223_at,122,-756
U40282_at,951,417
U40343_at,914,814
U40369_rna1_at,372,1188
U40370_at,115,21
U40371_at,159,21
U40372_at,-884,-540
U40380_at,-648,-743
U40391_rna1_at,2030,1314
U40434_at,-173,-163
U40462_at,859,181
U40490_at,495,631
U40572_at,154,-50
U40622_at,10,29
U40714_at,400,234
U40990_at,797,189
U40992_at,-93,36
U40998_at,783,712
U41060_at,241,242
U41344_at,-434,160
U41371_at,1149,807
U41387_at,216,1003
U41515_at,165,286
U41635_at,2044,2317
U41668_at,272,226
U41737_at,-34,-1
U41745_at,-77,99
U41763_at,-793,-724
U41804_at,-71,-799
U41813_at,-55,20
U41815_at,45,194
U41816_at,176,53
U41898_at,-339,-257
U42031_at,332,99
U42359_at,78,-35
U42360_cds2_at,-303,-144
U42387_at,-174,-139
U42390_at,-181,-199
U42408_at,71,-103
U42412_at,997,863
U43030_at,914,272
U43077_at,1174,1094
U43083_at,333,234
U43142_at,-491,-219
U43148_at,1467,1181
U43177_at,417,344
U43279_at,-7,107
U43286_at,563,714
U43292_at,205,109
U43318_at,297,29
U43328_at,8,21
U43374_at,113,116
U43408_at,38,-11
U43431_at,-408,-325
U43519_at,319,253
U43522_at,1842,744
U43527_at,864,502
U43586_at,-7,4
U43672_at,-67,28
U43753_cds2_at,219,248
U43843_at,-65,-317
U43885_at,341,65
U43899_at,64,152
U43923_at,1109,792
U43959_at,-286,-291
U43965_at,423,253
U44059_at,1045,914
U44060_at,-200,-47
U44111_at,35,56
U44378_at,138,114
U44429_at,-239,-60
U44754_at,166,219
U44755_at,513,555
U44772_at,198,719
U44839_at,4819,4231
U44848_at,271,233
U44975_at,1641,5314
U45285_at,1545,125
U45880_at,262,56
U45955_at,58,-4
U45973_at,902,1332
U45974_at,1252,1131
U45975_at,2199,1522
U45976_at,277,175
U45982_at,1149,823
U45983_at,-79,12
U46023_at,517,180
U46024_at,219,90
U46025_at,2696,2193
U46116_at,28,-58
U46194_at,172,104
U46461_at,332,420
U46499_at,44,146
U46569_at,524,512
U46570_at,2638,1886
U46571_at,472,340
U46689_at,-234,42
U46692_rna1_at,662,2998
U46751_at,1298,1379
U46752_at,-96,-82
U46767_at,91,70
U46901_at,120,291
U47007_at,32,-10
U47011_cds1_at,-329,-306
U47050_at,-85,18
U47054_at,38,-2
U47101_at,582,1447
U47105_at,390,66
U47334_at,398,288
U47414_at,419,482
U47621_at,15,447
U47634_at,842,654
U47635_at,347,594
U47742_at,1737,1382
U47926_at,-457,-485
U47927_at,423,348
U47928_at,-112,-188
U47931_at,1170,321
U48213_at,-1520,-649
U48231_at,289,175
U48250_at,-11,-26
U48251_at,676,403
U48263_at,478,311
U48296_at,510,1225
U48405_at,446,489
U48408_at,1303,1378
U48437_at,803,614
U48697_at,-377,-395
U48707_at,-152,-286
U48736_at,180,154
U48807_at,149,92
U48861_at,-538,-811
U48936_at,996,1491
U48959_at,40,-272
U49065_at,96,58
U49070_at,697,1037
U49082_at,1002,664
U49089_at,550,620
U49114_at,-206,-115
U49187_at,211,-18
U49188_at,296,395
U49248_at,173,99
U49250_at,415,8
U49260_at,-190,126
U49278_at,507,127
U49352_at,375,4
U49379_at,-5,28
U49395_at,752,1456
U49436_at,305,392
U49742_at,262,408
U49785_at,1258,701
U49837_at,816,115
U49844_at,92,210
U49857_at,245,219
U49869_rna1_at,12454,19697
U49928_at,20,-135
U49973_xpt1_at,1137,1122
U49973_xpt2_at,9,97
U50062_at,369,251
U50078_at,221,495
U50136_rna1_at,1124,1062
U50146_at,-194,-287
U50315_at,238,700
U50330_at,-280,7
U50383_at,-275,-111
U50523_at,2567,3975
U50531_at,188,163
U50534_at,65,14
U50535_at,1065,978
U50553_at,282,455
U50708_at,-27,-10
U50733_at,994,788
U50743_at,-27,614
U50839_at,420,283
U50928_at,346,23
U50929_at,-139,-41
U50939_at,405,490
U50950_at,161,162
U51004_at,2534,2294
U51095_at,-6,-44
U51096_at,106,270
U51127_at,1306,1344
U51166_at,111,238
U51205_at,211,143
U51240_at,9059,4614
U51241_at,327,280
U51269_at,497,472
U51334_at,805,757
U51336_at,1698,932
U51432_at,163,243
U51477_at,627,805
U51478_at,3756,2271
U51561_at,52,98
U51586_at,394,732
U51587_at,108,63
U51678_at,974,896
U51711_at,31,-16
U51903_at,350,484
U51920_at,351,170
U51990_at,325,399
U52100_at,140,-30
U52101_at,5752,3930
U52111_rna3_at,-271,219
U52111_rna4_at,-1553,-1322
U52112_rna1_at,1601,843
U52112_rna5_at,1311,1144
U52152_at,-297,-329
U52153_at,-45,-10
U52154_at,104,141
U52155_at,33,19
U52426_at,760,1184
U52427_rna1_at,1340,492
U52513_at,471,164
U52518_at,23,-471
U52521_at,411,184
U52522_at,765,864
U52682_at,62,-44
U52700_at,98,88
U52827_at,43,-47
U52830_at,712,264
U52840_at,-605,-930
U52960_at,-84,-57
U52969_at,267,55
U53003_at,102,341
U53174_at,-133,-284
U53209_at,2410,2136
U53225_at,314,-265
U53347_at,887,559
U53442_at,-375,-138
U53445_at,-120,-77
U53446_at,309,46
U53468_at,141,84
U53476_at,-129,160
U53506_at,-251,-242
U53786_at,367,251
U53830_at,284,60
U54617_at,138,47
U54778_at,1965,1839
U54804_at,85,-9
U54999_at,165,110
U55054_at,-53,-52
U55206_at,148,-5
U55209_at,88,319
U55258_at,47,-87
U55764_at,288,175
U55766_at,78,354
U55853_at,38,137
U55936_at,230,124
U56085_at,-109,-106
U56102_at,-114,-4
U56244_at,212,185
U56417_at,1098,854
U56418_at,915,201
U56637_at,4531,2051
U56814_at,276,189
U56816_at,588,554
U56833_at,757,410
U56976_at,-88,-92
U56998_at,-98,1230
U57057_at,67,86
U57092_at,10,-92
U57093_at,-25,21
U57094_at,180,206
U57099_at,89,-146
U57316_at,566,133
U57317_at,-297,-241
U57342_at,2164,3000
U57352_at,-786,-429
U57450_at,658,331
U57452_at,10,93
U57592_at,119,466
U57629_at,50,77
U57650_at,1956,1281
U57721_at,148,158
U57796_at,59,8
U57877_at,1069,695
U57911_at,-23,19
U58032_at,329,188
U58033_at,29,-77
U58034_at,80,100
U58048_at,895,674
U58087_at,753,441
U58089_at,618,726
U58090_at,155,262
U58091_at,78,75
U58096_at,32,67
U58130_at,528,178
U58331_at,-131,-96
U58334_at,769,732
U58522_at,80,23
U58658_at,159,89
U58681_at,730,-117
U58682_at,11731,13271
U58766_at,693,722
U58970_at,1134,276
U59057_at,-105,110
U59111_at,127,53
U59228_at,-92,376
U59286_at,-157,-162
U59289_at,58,64
U59302_at,426,711
U59309_at,443,235
U59321_at,356,-29
U59325_at,-61,-61
U59423_at,2350,25
U59736_at,581,291
U59748_at,-214,-66
U59752_at,1317,861
U59863_at,42,335
U59878_at,367,561
U59913_at,90,-44
U59914_at,1,153
U59919_at,148,121
U60060_at,-42,84
U60062_at,196,111
U60115_at,2466,119
U60116_at,394,204
U60205_at,-49,15
U60269_cds1_at,64,-41
U60269_cds2_at,338,263
U60269_cds3_at,638,522
U60276_at,-675,-718
U60319_at,-68,-76
U60325_at,678,531
U60415_at,-7,39
U60519_at,174,324
U60521_at,-153,25
U60644_at,-79,364
U60665_at,-310,-299
U60666_at,165,197
U60800_at,-105,-942
U60805_at,-109,-54
U60873_at,-573,-233
U60975_at,463,3347
U61145_at,303,112
U61166_at,360,235
U61167_at,-117,91
U61232_at,128,87
U61234_at,382,611
U61262_at,-220,-190
U61263_at,451,549
U61374_at,14,37
U61538_at,80,181
U61741_at,-226,39
U61836_at,190,-44
U61849_at,76,31
U62015_at,-51,-36
U62136_at,327,516
U62317_rna3_at,1945,1306
U62317_rna6_at,-117,36
U62317_rna7_at,-865,259
U62325_at,19,87
U62389_at,243,183
U62431_at,-63,-18
U62433_at,212,49
U62437_at,512,16
U62531_at,-968,-1931
U62739_at,1685,1306
U62800_at,-271,-288
U62801_at,-498,-347
U62961_at,4,111
U62962_at,3512,2807
U62966_at,-91,-92
U63090_at,211,27
U63139_at,48,-33
U63289_at,-183,-51
U63295_at,30,74
U63312_at,-351,-350
U63329_at,205,-761
U63332_at,-37,0
U63336_at,250,228
U63455_at,358,647
U63541_at,599,294
U63542_at,150,-10
U63717_at,363,105
U63743_at,168,98
U63824_at,-52,-102
U63825_at,248,636
U63842_at,762,354
U64105_at,2120,1679
U64197_at,-42,-219
U64198_at,-72,-123
U64444_at,995,987
U64520_at,63,25
U64675_at,-408,284
U64863_at,-52,-36
U64871_at,93,-1
U64998_at,256,-189
U65002_at,56,20
U65011_at,-95,-50
U65092_at,28,-166
U65093_at,246,886
U65402_at,1092,930
U65404_at,-152,-66
U65406_rna4_at,88,48
U65410_at,-166,15
U65437_rna1_at,7,7
U65579_at,-53,-188
U65581_at,2151,1044
U65676_at,-185,-33
U65785_at,943,1175
U65928_at,369,291
U65932_at,1180,85
U66033_at,-56,-26
U66036_at,123,72
U66048_at,507,357
U66052_at,662,377
U66059_cds7_at,621,333
U66075_at,-54,-32
U66083_at,195,223
U66088_at,230,140
U66198_at,-31,-108
U66359_at,-341,-3
U66406_at,307,369
U66464_at,474,1022
U66468_at,89,214
U66469_at,241,229
U66497_at,88,74
U66559_at,438,43
U66561_at,65,45
U66578_at,329,357
U66580_at,-57,-93
U66581_at,-66,-17
U66615_at,1040,674
U66616_at,719,754
U66617_at,919,987
U66618_at,1139,749
U66619_at,-1448,-1049
U66661_at,124,109
U66669_at,30,21
U66702_at,192,179
U66838_at,64,47
U66879_at,985,1052
U67156_at,13,-20
U67171_at,1468,2162
U67191_at,24,57
U67319_at,202,183
U67369_at,517,804
U67611_at,34,71
U67614_at,103,131
U67674_at,593,494
U67733_at,-182,-210
U67784_at,81,1
U67849_at,508,-486
U67934_at,337,1
U67963_at,555,1063
U67988_at,-14,-146
U68018_at,392,323
U68019_at,-188,-62
U68030_at,-6,-22
U68031_at,-89,-31
U68063_at,1335,2020
U68111_at,89,138
U68133_at,24,92
U68142_at,834,463
U68233_at,358,342
U68385_at,-52,33
U68485_at,1026,275
U68488_at,-48,-27
U68494_at,249,345
U68536_at,150,84
U68566_at,1699,806
U68723_at,710,563
U68727_at,-6,-44
U69108_at,-12,20
U69127_at,130,80
U69141_at,471,253
U69263_at,158,185
U69546_at,1050,1516
U69645_at,586,341
U69961_at,-159,-43
U70063_at,-50,171
U70136_at,59,122
U70321_at,1524,1118
U70322_at,469,255
U70323_at,740,501
U70370_at,-179,-204
U70426_at,662,422
U70451_at,1537,1144
U70660_at,379,395
U70663_at,-670,-266
U70671_at,1145,1279
U70732_rna1_at,-148,178
U70735_at,1272,1294
U70862_at,98,17
U70867_at,760,217
U70981_at,-61,23
U70987_at,-471,-250
U71087_at,209,131
U71088_at,566,442
U71092_at,-542,-446
U71207_at,50,-81
U71300_at,113,47
U71364_at,-114,84
U71374_at,168,157
U71598_at,-11,219
U71601_at,231,147
U72066_at,839,798
U72206_at,2098,1632
U72209_at,278,232
U72342_at,978,324
U72507_at,-65,-19
U72508_at,416,356
U72511_at,1972,2435
U72512_at,1898,1835
U72514_at,-42,27
U72515_at,46,-193
U72517_at,1728,1319
U72621_at,39,151
U72661_at,-436,247
U72671_at,68,38
U72761_at,38,175
U73167_cds3_at,-387,-326
U73167_cds4_at,-363,-352
U73167_cds5_at,-4,237
U73167_cds7_at,174,34
U73191_at,17,32
U73304_rna1_at,-35,-63
U73328_at,458,235
U73330_at,-19,14
U73338_at,143,123
U73377_at,114,72
U73379_at,1630,798
U73499_at,-248,-260
U73514_at,-1862,12
U73524_at,228,119
U73682_at,77,145
U73704_at,18,-6
U73737_at,258,219
U73799_at,77,-60
U73824_at,3528,6372
U73843_at,36,127
U73960_at,-102,162
U74612_at,-109,-100
U74667_at,443,437
U75308_at,110,-27
U75362_at,586,266
U75370_at,111,788
U75679_at,462,440
U75968_at,1497,595
U76010_at,1182,828
U76189_at,-41,146
U76272_at,329,737
U76369_at,69,-36
U76421_at,-118,-37
U76456_at,145,-12
U76638_at,389,267
U76992_at,1242,919
U77129_at,223,122
U77180_at,-638,-151
U77396_at,332,837
U77413_at,-149,93
U77456_at,461,833
U77594_at,-218,-278
U77604_at,996,1071
U77643_at,86,-82
U77664_at,75,106
U77665_at,255,127
U77718_at,730,697
U77735_at,322,850
U77827_at,524,477
U77845_at,377,307
U77948_at,1114,1238
U77949_at,-97,-40
U77968_at,4,708
U77970_at,-442,-349
